상권코드명,총유동인구수,남성유동인구수,여성유동인구수,연령대10유동인구수,연령대20유동인구수,연령대30유동인구수,연령대40유동인구수,연령대50유동인구수,연령대60이상유동인구수
필운대로5가길,46157,17277,28880,7061,12629,9364,7705,6066,3332
필운대로6길,22189,8957,13232,2709,6050,4925,3925,3099,1481
필운대로7길,17572,7010,10562,2393,5003,3669,2997,2420,1091
학동로20길,24261,12788,11473,476,9282,6557,3322,2638,1986
한강대로104마길,24263,14442,9821,251,5953,6531,5068,4064,2395
한강대로10길,5508,3326,2182,381,937,1240,1209,995,746
한강대로15길,9265,5536,3729,195,1937,2249,1813,1675,1397
한강대로21길,7719,5080,2639,320,1983,1808,1341,1359,908
한강대로23길,9929,6012,3918,473,2587,2219,1801,1618,1231
한강대로38길,8463,4913,3550,128,2086,2400,1881,1188,781
한강대로40길,23786,14239,9547,461,6305,7080,5146,2999,1794
한강대로43길,43642,24771,18870,656,11544,13496,9166,5414,3366
한강대로52길,120250,63720,56529,5023,45720,38511,17717,8295,4983
한강대로62가길,4119,1698,2421,0,1208,1931,533,387,59
한강대로62길,26234,14732,11503,513,7160,7869,5091,3527,2075
한강대로62다길,10187,6377,3810,123,2050,2403,2471,1917,1223
한강대로7길,33767,17907,15861,558,6535,8459,7140,5846,5228
한강대로88길,19481,11825,7656,2246,5947,3307,3080,2700,2202
한강대로96길,41872,24082,17790,3351,11423,8793,7250,6185,4869
한글비석로1길,2748,1331,1417,121,475,476,511,688,478
한글비석로20길,61174,32030,29144,5217,11429,8985,13004,12914,9625
한글비석로23길,150925,77932,72993,11651,28469,23550,26851,34061,26342
한글비석로46길,133856,69423,64433,9017,27344,20204,22012,28498,26781
한글비석로48길,10913,5020,5894,1326,2085,1909,1944,2004,1644
한남대로20길,23986,11016,12970,135,5565,7922,4826,2999,2538
한남대로21길,8950,4396,4555,50,2131,2322,1838,1412,1198
한남대로27길,35659,16392,19267,1046,12134,10631,6046,3542,2261
한남대로42길,6112,3147,2965,48,987,2152,1576,772,577
한림말1길,31107,14044,17062,1089,5629,7711,6402,5300,4975
한림말3길,49670,22036,27634,1700,8860,12140,10213,8629,8129
한림말길,50067,22126,27941,2277,7480,12582,9801,8930,8998
한천로101가길,12521,6777,5744,392,999,2436,2998,3702,1995
한천로11길,28843,16427,12415,1076,4865,6215,5937,6294,4456
한천로130길,179579,92535,87044,9036,41389,32161,30940,34733,31321
