상권코드명,총직장인구수,남성직장인구수,여성직장인구수,연령대10직장인구수,연령대20직장인구수,연령대30직장인구수,연령대40직장인구수,연령대50직장인구수,연령대60이상직장인구수
봉화산로30길,397,237,160,0,31,66,130,117,53
봉화산로4길,202,84,118,0,27,33,51,61,30
봉화산로56길,638,415,223,0,48,135,213,188,54
부일로15길,36,22,14,0,2,9,10,7,8
북아현로12길,16,8,8,0,1,2,6,4,3
북아현로14길,20,5,15,0,2,3,7,5,3
북촌로5가길,93,55,38,0,4,27,44,16,2
북촌로5나길,791,379,412,14,189,245,148,142,53
북촌로6길,106,39,67,0,39,23,16,15,13
불광로18길,2,1,1,0,0,0,0,2,0
불광로2길,1001,434,567,0,252,409,216,102,22
사가정로27길,124,75,49,0,28,28,33,25,10
사가정로51길,149,75,74,1,34,31,32,31,20
사근동11길,17,14,3,0,2,10,4,1,0
사근동8가길,12,6,6,0,0,2,3,1,6
사근동8길,32,17,15,0,4,5,15,6,2
사근동길,6594,3141,3453,3,1389,1618,1874,1303,407
사당로14가길,62,31,31,0,12,14,18,14,4
사당로16길,240,96,144,1,31,56,70,53,29
사당로17길,636,245,391,10,109,134,116,120,147
사임당로12길,565,347,218,2,103,192,135,81,52
사임당로1길,467,255,212,2,104,175,91,58,37
사직로12길,386,245,141,0,16,45,56,58,211
사직로8길,19,10,9,0,2,4,5,4,4
사평대로22길,781,401,380,0,198,211,171,117,84
사평대로28길,339,233,106,3,61,87,106,47,35
사평대로2길,1441,878,563,17,268,333,268,180,375
사평대로57길,123,38,85,3,48,29,20,16,7
살곶이8길,24,12,12,2,3,6,4,3,6
삼각산로22길,11,6,5,0,2,1,2,6,0
삼선교로10길,15,6,9,0,1,3,6,4,1
삼선교로14길,271,116,155,1,59,44,65,55,47
삼선교로23길,166,54,112,0,18,31,53,53,11
삼선교로4길,650,516,134,0,63,105,250,207,25
삼성로100길,2652,1415,1237,94,848,919,448,207,136
삼성로146길,135,59,76,0,37,47,34,7,10
삼성로64길,286,180,106,0,29,58,103,54,42
삼양로112길,94,22,72,0,19,19,23,18,15
삼양로139길,135,76,59,2,29,32,30,22,20
삼양로144길,580,196,384,0,129,95,143,153,60
삼양로173길,459,408,51,1,8,21,72,268,89
삼양로19길,345,86,259,0,47,66,125,72,35
삼양로20길,10,7,3,0,4,2,0,2,2
삼양로24길,26,15,11,0,0,3,8,4,11
삼양로27길,173,60,113,1,18,33,59,39,23
삼양로32가길,33,17,16,0,2,9,11,6,5
삼양로38길,90,44,46,2,19,17,13,22,17
삼양로73길,15,5,10,0,0,2,4,4,5
삼양로74길,61,24,37,0,4,2,14,25,16
삼양로77가길,77,37,40,0,28,14,13,13,9
삼양로8길,161,77,84,1,36,39,39,30,16
삼양로91길,20,4,16,0,1,0,4,11,4
삼양로93길,62,25,37,0,3,9,18,24,8
삼양로99길,16,11,5,0,1,3,5,4,3
삼일대로32가길,3209,2198,1011,5,474,1082,1015,445,188
삼일대로32길,9078,4594,4484,490,1631,2615,2776,1108,458
삼일대로4길,1172,449,723,23,299,313,233,167,137
