profit,livingPeople,numberStore,workingPeople,movingPeople,rent,gu,region
10741878.5,2001,1,49,17086,21.06666667,강서구,기타지역
26271260.33,1121,4,618,70267,21.06666667,강서구,기타지역
5794840.25,5681,15,319,63961,21.06666667,강서구,기타지역
6297243,1150,3,112,26544,21.06666667,강서구,기타지역
8587930.5,2536,2,165,33977,21.06666667,강서구,기타지역
25549974.33,1121,4,618,74044,21.06666667,강서구,기타지역
8285484.5,1904,2,250,1695,21.06666667,강서구,기타지역
8058027,1501,2,120,29497,21.06666667,강서구,기타지역
17202413,1129,6,273,91006,21.06666667,강서구,기타지역
6258843.5,2583,11,211,54628,21.06666667,강서구,기타지역
1759877,2691,2,89,74479,70.91666667,관악구,기타지역
14816422.33,1260,8,296,80610,70.91666667,관악구,기타지역
1013103,744,1,61,18448,70.91666667,관악구,기타지역
7056622.667,1934,6,273,55281,70.91666667,관악구,기타지역
6005246,2301,4,191,55541,70.91666667,관악구,기타지역
4257931,262,1,6,8055,70.91666667,관악구,기타지역
5840594,3451,2,45,58283,70.91666667,관악구,기타지역
5840594,3451,2,45,58283,70.91666667,관악구,기타지역
14816422.33,1260,8,296,80610,70.91666667,관악구,기타지역
22106084.33,1069,4,264,24252,70.91666667,관악구,기타지역
7072136,3334,1,22,124165,70.91666667,관악구,기타지역
7374126,1517,1,182,37212,70.91666667,관악구,기타지역
6959202,1148,3,131,116191,70.91666667,관악구,기타지역
3032679,5193,5,300,73785,70.91666667,관악구,기타지역
11041374,1486,1,95,33089,70.91666667,관악구,기타지역
22351565.67,1069,3,264,24463,70.91666667,관악구,기타지역
5927978.5,462,2,90,56304,70.91666667,관악구,기타지역
5857526.333,3714,3,86,95642,70.91666667,관악구,기타지역
5517783.5,5748,6,460,82873,70.91666667,관악구,기타지역
7739892.444,6649,11,534,115383,70.91666667,관악구,기타지역
15696177.67,2100,6,384,90434,70.91666667,관악구,기타지역
7049543.25,1962,7,54,127887,70.91666667,관악구,기타지역
7338148,570,5,167,24558,70.91666667,관악구,기타지역
6048671,1148,3,131,107530,70.91666667,관악구,기타지역
9566187.667,672,3,332,34681,70.91666667,관악구,기타지역
4431724,2692,1,44,20805,70.91666667,관악구,기타지역
4431724,2195,2,211,22052,70.91666667,관악구,기타지역
6246736,3451,3,45,47737,70.91666667,관악구,기타지역
11266280.5,1260,7,296,83270,70.91666667,관악구,기타지역
3760943.4,797,6,36,50028,70.91666667,관악구,기타지역
17551067,4346,1,88,65030,70.91666667,관악구,기타지역
10608747.83,6325,13,145,167861,70.91666667,관악구,기타지역
9376730,1678,2,50,68119,70.91666667,관악구,기타지역
5987314,3194,3,231,55818,70.91666667,관악구,기타지역
10227087,2843,3,94,74621,70.91666667,관악구,기타지역
10928180.78,1515,14,155,82803,70.91666667,관악구,기타지역
3234591,2271,2,578,38339,70.91666667,관악구,기타지역
1994779,2412,2,490,81787,70.91666667,관악구,기타지역
8737595,539,7,148,104087,70.91666667,관악구,기타지역
4259124.2,2656,5,199,81923,70.91666667,관악구,기타지역
4191427.667,1769,3,121,19409,70.91666667,관악구,기타지역
182143,7253,1,313,94364,70.91666667,관악구,기타지역
9774592.667,672,3,332,36853,70.91666667,관악구,기타지역
3007506.5,2028,1,205,53815,70.91666667,관악구,기타지역
7716163.222,6649,12,534,85309,70.91666667,관악구,기타지역
